word,source,date,title,frequency
au,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",4
droit,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",3
à,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",15
l'avortement.,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
Parmi,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
les,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",14
dizaines,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
de,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",27
décrets,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
déjà,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
signés,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
par,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
le,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",9
chef,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
"d'État,",https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
l'un,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
visait,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
rétablir,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
la,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",12
«règle,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
du,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",10
bâillon,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",4
mondial».,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
Un,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
texte,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",3
loi,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",2
qui,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",3
limite,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
l'accès,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
l'IVG,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
non,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",2
pas,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",4
aux,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",2
"États-Unis,",https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
mais,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
partout,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
ailleurs,https://www.slate.fr/monde/regle-baillon-mondial-trump-entraver-acces-avortement-mexico-city-policy-anti-ivg-dangers-mort-femmes-deces-grossesse,27 janvier 2025 à 13h09,"Avec la «règle du bâillon mondial», Donald Trump va entraver l'accès à l'avortement dans le monde entier",1
