word,source,article_date,scraped_date,title,frequency
Et,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,1
"si,",https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,1
pour,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,5
freiner,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,1
l'avancée,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,1
du,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,4
"Kremlin,",https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,1
Kiev,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,2
décidait,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,1
de,https://www.slate.fr/monde/ukraine-bombe-nucleaire-stopper-poutine-russie-capacites-risques-analyse-chercheur-armes-atomiques,2 juin 2025 à 18h25,2025-06-02,L'Ukraine pourrait-elle développer la bombe nucléaire pour stopper la Russie?,30
